Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
70,original,CT,0.0,0.16416416416416416
70,original,LDA,0.0,0.4034034034034034
70,ldbk,CT,0.0,0.11611611611611612
70,ldbk,LDA,0.09090909090909091,0.1001001001001001
70,ldbkash,CT,0.0,0.32232232232232233
70,ldbkash,LDA,0.24242424242424243,0.4184184184184184
70,ldbkemd,CT,0.0,0.08108108108108109
70,ldbkemd,LDA,0.06060606060606061,0.1061061061061061
14,original,CT,0.0,0.15715715715715717
14,original,LDA,0.0,0.34534534534534533
14,ldbk,CT,0.0,0.12412412412412413
14,ldbk,LDA,0.10101010101010101,0.17117117117117117
14,ldbkash,CT,0.0,0.25825825825825827
14,ldbkash,LDA,0.25252525252525254,0.3893893893893894
14,ldbkemd,CT,0.0,0.12112112112112113
14,ldbkemd,LDA,0.0707070707070707,0.12612612612612611
7,original,CT,0.0,0.18018018018018017
7,original,LDA,0.0,0.33233233233233234
7,ldbk,CT,0.0,0.1061061061061061
7,ldbk,LDA,0.08080808080808081,0.13113113113113112
7,ldbkash,CT,0.0,0.4174174174174174
7,ldbkash,LDA,0.31313131313131315,0.5095095095095095
7,ldbkemd,CT,0.0,0.1091091091091091
7,ldbkemd,LDA,0.1111111111111111,0.13513513513513514
96,original,CT,0.0,0.17017017017017017
96,original,LDA,0.0,0.3173173173173173
96,ldbk,CT,0.0,0.13313313313313313
96,ldbk,LDA,0.04040404040404041,0.11511511511511512
96,ldbkash,CT,0.0,0.14614614614614616
96,ldbkash,LDA,0.09090909090909091,0.2092092092092092
96,ldbkemd,CT,0.0,0.12012012012012012
96,ldbkemd,LDA,0.04040404040404041,0.12112112112112113
57,original,CT,0.0,0.15915915915915915
57,original,LDA,0.0,0.3103103103103103
57,ldbk,CT,0.0,0.0920920920920921
57,ldbk,LDA,0.06060606060606061,0.12012012012012012
57,ldbkash,CT,0.0,0.16516516516516516
57,ldbkash,LDA,0.15151515151515152,0.25625625625625625
57,ldbkemd,CT,0.0,0.08808808808808809
57,ldbkemd,LDA,0.08080808080808081,0.13213213213213212
